pupid,educ_attain,treat,schid,grade,winn01,winn02,age01,test00,test01,test02,c1,weight,in_school,math,cognitive,vocab
2235022,8,1,223,5,0,0,12,-0.5229928493499756,NA,NA,0,1,1,-0.18322870135307312,-0.007514761295169592,0.35505563020706177
2235026,8,1,223,5,0,0,10,0.21725033223628998,NA,0.09620597213506699,0,5,1,0.7381649017333984,-1.0631884336471558,-0.18165162205696106
2235028,7,1,223,5,0,0,13,-0.07436060905456543,NA,-0.9819164872169495,0,1,0,-0.490359902381897,-1.2391340732574463,-1.6128709316253662
2235029,7,1,223,5,0,0,13,-1.3305308818817139,NA,-0.67091965675354,0,1,1,-0.490359902381897,-0.88724285364151,-1.255066156387329
2235031,8,1,223,5,0,0,11,-0.2986767292022705,NA,-0.35992276668548584,0,1,1,0.4310337007045746,-0.7112972140312195,0.8917628526687622
2235033,9,1,223,5,0,0,12,-0.18651866912841797,NA,-0.069659024477005,0,1,1,1.0452960729599,0.5203220844268799,0.5339580178260803
2235034,7,1,223,5,0,0,12,-0.6351509094238281,NA,-1.0648490190505981,0,1,1,0.4310337007045746,1.2241045236587524,-0.5394564867019653
2235040,9,1,223,5,0,1,11,2.2585270404815674,NA,0.7181997299194336,0,5,1,1.0452960729599,1.751941442489624,1.4284701347351074
2235043,6,1,223,5,0,0,16,0.5761560797691345,NA,-0.4635883867740631,0,5,1,-2.3331470489501953,-0.88724285364151,-2.149578094482422
2235047,8,1,223,5,0,0,10,-0.7248773574829102,NA,NA,0,1,1,0.4310337007045746,-0.88724285364151,0.8917628526687622
2235053,7,1,223,5,0,0,12,-0.7248773574829102,NA,-0.3806558847427368,0,1,1,0.4310337007045746,2.103832721710205,1.0706652402877808
2235055,7,1,223,5,0,0,12,-0.5005612373352051,NA,-0.8989840149879456,0,1,0,-0.18322870135307312,0.1684308499097824,-0.18165162205696106
2235060,7,1,223,5,0,0,13,-0.9267618060112,NA,-0.9197171330451965,0,1,1,-1.1046223640441895,0.1684308499097824,-0.0027492118533700705
2235064,6,1,223,5,0,0,13,-1.3978255987167358,NA,NA,0,1,1,-1.7188847064971924,-1.0631884336471558,-2.865187883377075
2235066,7,1,223,5,0,0,13,-1.2183728218078613,NA,NA,0,1,1,-0.490359902381897,-0.5353516340255737,-1.0761637687683105
2235069,7,1,223,5,0,0,14,-0.8594669699668884,NA,NA,0,1,0,-1.1046223640441895,-0.88724285364151,-0.7183588743209839
2235077,6,1,223,5,0,0,12,-1.0389199256896973,NA,NA,0,1,1,-1.1046223640441895,-1.0631884336471558,-0.7183588743209839
2235080,6,1,223,5,0,0,14,NA,NA,NA,0,1,NA,-0.7974911332130432,0.8722133040428162,-0.5394564867019653
2235086,7,1,223,5,0,0,13,-0.8370353579521179,NA,NA,0,1,1,0.12390250712633133,-1.0631884336471558,-1.0761637687683105
2235089,7,1,223,5,0,0,14,NA,NA,NA,0,1,1,-0.7974911332130432,-1.7669708728790283,-1.4339685440063477
2235093,8,1,223,5,0,0,12,NA,NA,-1.0648490190505981,0,1,1,0.4310337007045746,-0.7112972140312195,-0.0027492118533700705
2235098,8,1,223,5,0,0,13,NA,NA,-1.0648490190505981,0,1,0,-1.1046223640441895,-1.7669708728790283,-2.3284807205200195
2235103,6,1,223,5,0,0,13,0.21725033223628998,NA,-0.5257877707481384,0,5,0,-1.1046223640441895,-0.5353516340255737,-0.5394564867019653
2235105,8,1,223,5,0,0,13,-0.7697405219078064,NA,-0.753852128982544,0,1,0,1.0452960729599,1.2241045236587524,-0.8972613215446472
2235107,7,1,223,5,0,0,14,0.17238710820674896,NA,-0.67091965675354,0,1,0,-0.7974911332130432,-0.5353516340255737,-2.6862854957580566
2235112,7,1,223,5,0,0,13,-1.5548468828201294,NA,-0.4635883867740631,0,1,1,-0.490359902381897,-0.88724285364151,-0.5394564867019653
2235115,8,1,223,5,0,0,11,-0.6127192974090576,NA,-0.5050546526908875,0,5,1,-0.7974911332130432,0.8722133040428162,-0.360554039478302
2236001,8,1,223,6,0,0,14,NA,NA,0.38547587394714355,1,1,0,-0.18322870135307312,1.400050163269043,-0.360554039478302
2236003,10,1,223,6,1,0,14,NA,2.9953315258026123,0.8591427206993103,1,1,1,0.7381649017333984,0.5203220844268799,1.4284701347351074
2236004,8,1,223,6,0,0,15,-0.5804538130760193,0.3655179440975189,-1.07671320438385,1,1,0,-1.1046223640441895,-1.9429165124893188,0.7128604650497437
2236007,8,1,223,6,0,0,13,-1.104480266571045,0.5461921691894531,-0.43829259276390076,1,5,0,0.4310337007045746,1.400050163269043,-0.7183588743209839
2236010,10,1,223,6,1,0,14,0.06002290919423103,1.8912112712860107,0.38547587394714355,1,1,1,0.12390250712633133,0.8722133040428162,1.607372522354126
2236013,10,1,223,6,1,0,12,0.8363583087921143,2.1120352745056152,1.0238964557647705,1,1,1,1.0452960729599,0.8722133040428162,0.8917628526687622
2236019,10,1,223,6,1,0,12,-0.8327628374099731,1.590087652206421,0.4266642928123474,1,1,1,-0.18322870135307312,0.8722133040428162,1.0706652402877808
2236022,8,1,223,6,0,0,13,-0.6386789679527283,-0.43747854232788086,NA,1,1,1,0.7381649017333984,1.048158884048462,0.35505563020706177
2236023,8,1,223,6,1,0,14,-0.8133544325828552,1.409413456916809,-0.27353888750076294,1,5,0,-0.7974911332130432,0.6962677240371704,1.4284701347351074
2236026,9,1,223,6,0,0,14,-1.162705421447754,0.7870911359786987,-0.4588868021965027,1,1,1,0.12390250712633133,-0.7112972140312195,0.7128604650497437
2236029,9,1,223,6,1,0,13,-0.32814478874206543,1.048064947128296,0.261910617351532,1,1,1,0.7381649017333984,-0.18346038460731506,1.2495677471160889
2236033,9,1,223,6,1,0,13,-1.415014386177063,1.068139910697937,-1.07671320438385,1,1,1,-0.7974911332130432,-0.3594059944152832,0.5339580178260803
2236045,9,1,223,6,0,0,13,-0.5804538130760193,0.5461921691894531,-0.1705678403377533,1,1,1,-0.490359902381897,2.279778242111206,1.607372522354126
2236059,8,1,223,6,0,0,13,-1.2597472667694092,0.20491865277290344,-0.43829259276390076,1,1,1,-0.490359902381897,1.5759958028793335,0.5339580178260803
2236060,7,1,223,6,0,0,14,-1.046255111694336,0.8673907518386841,0.1177511215209961,1,1,1,-0.490359902381897,-1.4150797128677368,-1.255066156387329
2236062,9,1,223,6,1,0,13,-0.2311028689146042,0.9878402352333069,NA,1,1,1,-0.490359902381897,1.2241045236587524,0.7128604650497437
2236064,7,1,223,6,0,0,12,-1.0850718021392822,-0.2367294281721115,-1.07671320438385,1,1,1,-0.490359902381897,-0.88724285364151,-0.18165162205696106
2236066,8,1,223,6,0,0,14,-0.8715795874595642,0.7268663644790649,-0.8913652300834656,1,1,0,0.4310337007045746,0.8722133040428162,-0.18165162205696106
2236068,8,1,223,6,0,0,15,NA,0.0643942654132843,NA,1,1,0,-0.490359902381897,-1.0631884336471558,-0.360554039478302
2236076,6,1,223,6,0,0,15,NA,0.8272409439086914,NA,1,1,0,-0.18322870135307312,0.34437647461891174,-0.5394564867019653
2236077,8,1,223,6,0,0,12,-0.7357208728790283,-0.3371039927005768,-0.5824520587921143,1,5,1,-0.490359902381897,0.6962677240371704,1.607372522354126
2236078,7,1,223,6,0,0,12,-0.9103963375091553,0.3052932024002075,-1.3444379568099976,1,1,1,0.4310337007045746,-1.0631884336471558,-0.0027492118533700705
2245002,7,1,224,5,0,0,12,0.8004721999168396,NA,NA,0,1,1,0.12390250712633133,-2.2948076725006104,0.17615319788455963
2245004,6,1,224,5,0,0,14,0.06022905558347702,NA,0.3035372197628021,0,1,0,-0.7974911332130432,-1.2391340732574463,-0.7183588743209839
2245006,6,1,224,5,0,1,12,0.17238710820674896,NA,0.7389328479766846,0,1,0,-0.490359902381897,-0.3594059944152832,-0.5394564867019653
2245010,7,1,224,5,0,0,12,-0.05192900076508522,NA,-0.19405777752399445,0,1,1,1.6595585346221924,0.34437647461891174,0.8917628526687622
2245011,7,1,224,5,0,0,14,-0.7024457454681396,NA,NA,0,1,1,1.352427363395691,-0.18346038460731506,-0.18165162205696106
2245016,7,1,224,5,0,0,12,NA,NA,NA,0,1,1,-0.18322870135307312,-0.7112972140312195,-0.0027492118533700705
2245020,8,1,224,5,0,0,12,-0.16408705711364746,NA,-0.2977233827114105,0,1,0,0.12390250712633133,1.048158884048462,0.35505563020706177
2245021,7,1,224,5,0,0,11,-0.16408705711364746,NA,NA,0,5,1,-0.18322870135307312,-0.007514761295169592,0.35505563020706177
2245024,8,1,224,5,0,0,14,0.5312928557395935,NA,NA,0,1,0,-0.490359902381897,-1.0631884336471558,-1.6128709316253662
2245025,7,1,224,5,0,0,12,0.10509227961301804,NA,NA,0,1,1,1.352427363395691,-0.3594059944152832,-0.0027492118533700705
2245026,8,1,224,5,0,0,14,NA,NA,0.573067843914032,0,1,1,1.9666897058486938,0.1684308499097824,-0.360554039478302
2245034,8,1,224,5,0,0,14,0.35183998942375183,NA,NA,0,1,0,-0.490359902381897,-0.3594059944152832,-1.0761637687683105
2245035,7,1,224,5,0,0,17,0.12752388417720795,NA,NA,0,1,0,-0.7974911332130432,-0.88724285364151,-1.0761637687683105
2245036,5,1,224,5,0,0,15,0.35183998942375183,NA,NA,0,1,0,-0.7974911332130432,1.048158884048462,-1.255066156387329
2245039,8,1,224,5,0,0,11,0.8901986479759216,NA,-0.17332464456558228,0,5,1,-0.18322870135307312,1.5759958028793335,-0.0027492118533700705
2245043,8,1,224,5,0,0,12,1.4509888887405396,NA,NA,0,1,1,1.0452960729599,-0.5353516340255737,-0.7183588743209839
2245045,6,1,224,5,0,0,13,0.01536583248525858,NA,NA,0,1,0,-0.490359902381897,-2.1188621520996094,-2.507383108139038
2245051,9,1,224,5,0,0,15,NA,NA,-0.04892589896917343,0,5,1,1.0452960729599,-0.7112972140312195,1.0706652402877808
2245053,9,1,224,5,0,0,14,NA,NA,0.22060471773147583,0,1,1,-0.490359902381897,-0.7112972140312195,0.8917628526687622
2245055,7,1,224,5,0,0,12,NA,NA,NA,0,1,1,-0.490359902381897,1.400050163269043,-0.0027492118533700705
2245056,5,1,224,5,0,0,14,NA,NA,NA,0,5,0,-1.1046223640441895,-0.7112972140312195,-2.149578094482422
2245059,6,1,224,5,0,0,14,0.21725033223628998,NA,NA,0,1,0,-1.1046223640441895,-1.4150797128677368,-0.8972613215446472
2245070,9,1,224,5,0,0,10,1.1818095445632935,NA,NA,0,1,1,1.6595585346221924,2.103832721710205,0.7128604650497437
2245071,9,1,224,5,0,0,10,NA,NA,NA,0,5,1,-0.18322870135307312,-0.007514761295169592,0.7128604650497437
2245072,8,1,224,5,0,0,14,NA,NA,-0.712385892868042,0,1,1,0.4310337007045746,-0.5353516340255737,-1.6128709316253662
2245073,8,1,224,5,0,1,10,0.9126302599906921,NA,0.8425984382629395,0,1,1,0.7381649017333984,0.8722133040428162,-0.0027492118533700705
2246002,10,1,224,6,0,0,14,NA,0.7870911359786987,0.32369324564933777,1,1,1,1.0452960729599,1.2241045236587524,0.5339580178260803
2246003,8,1,224,6,0,0,15,-0.11465255916118622,-0.07613012194633484,0.22072218358516693,1,1,0,1.0452960729599,0.1684308499097824,1.0706652402877808
2246006,8,1,224,6,0,1,14,0.40937384963035583,-0.03598029538989067,1.0238964557647705,0,1,1,0.7381649017333984,-0.18346038460731506,0.35505563020706177
2246007,9,1,224,6,0,0,13,0.07943129539489746,-0.056055210530757904,0.44725850224494934,1,1,1,-1.411753535270691,0.1684308499097824,-0.360554039478302
2246008,9,1,224,6,1,0,14,NA,1.0279901027679443,-0.005814145319163799,1,1,1,-0.490359902381897,-1.2391340732574463,1.0706652402877808
2246009,8,1,224,6,0,0,14,NA,-0.015905383974313736,-0.4588868021965027,1,1,0,-1.1046223640441895,0.8722133040428162,-0.5394564867019653
